TEMPO;PROCESSO;PAGINA;ACAO
60;7;40;SAIU
60;7;41;SAIU
60;7;42;SAIU
60;7;43;SAIU
60;7;44;SAIU
60;7;45;SAIU
60;7;46;SAIU
60;7;47;SAIU
60;7;48;SAIU
60;7;49;SAIU
60;7;50;SAIU
60;7;51;SAIU
60;7;52;SAIU
60;7;53;SAIU
60;7;54;SAIU
60;28;13;ENTROU
60;28;14;ENTROU
60;28;15;ENTROU
60;28;16;ENTROU
60;28;17;ENTROU
60;28;18;ENTROU
60;28;19;ENTROU
60;28;20;ENTROU
60;28;21;ENTROU
60;28;22;ENTROU
60;28;23;ENTROU
60;28;24;ENTROU
60;28;25;ENTROU
60;28;26;ENTROU
60;28;27;ENTROU
60;28;28;ENTROU
60;28;29;ENTROU
60;28;30;ENTROU
60;28;31;ENTROU
60;28;32;ENTROU
60;28;33;ENTROU
60;28;34;ENTROU
60;28;35;ENTROU
60;28;36;ENTROU
60;28;37;ENTROU
60;28;38;ENTROU
60;28;39;ENTROU
60;28;40;ENTROU
60;28;41;ENTROU
60;28;42;ENTROU
60;28;43;ENTROU
60;28;44;ENTROU
62;28;13;SAIU
62;28;14;SAIU
62;28;15;SAIU
62;28;16;SAIU
62;28;17;SAIU
62;28;18;SAIU
62;28;19;SAIU
62;28;20;SAIU
62;28;21;SAIU
62;28;22;SAIU
62;28;23;SAIU
62;28;24;SAIU
62;28;25;SAIU
62;28;26;SAIU
62;28;27;SAIU
62;28;28;SAIU
62;28;29;SAIU
62;28;30;SAIU
62;28;31;SAIU
62;28;32;SAIU
62;28;33;SAIU
62;28;34;SAIU
62;28;35;SAIU
62;28;36;SAIU
62;28;37;SAIU
62;28;38;SAIU
62;28;39;SAIU
62;28;40;SAIU
62;28;41;SAIU
62;28;42;SAIU
62;28;43;SAIU
62;28;44;SAIU
62;29;13;ENTROU
62;29;14;ENTROU
62;29;15;ENTROU
62;29;16;ENTROU
62;29;17;ENTROU
62;29;18;ENTROU
62;29;19;ENTROU
62;29;20;ENTROU
62;29;21;ENTROU
62;29;22;ENTROU
62;29;23;ENTROU
62;29;24;ENTROU
62;29;25;ENTROU
62;29;26;ENTROU
62;29;27;ENTROU
62;29;28;ENTROU
62;29;29;ENTROU
62;29;30;ENTROU
62;29;31;ENTROU
62;29;32;ENTROU
62;29;33;ENTROU
62;29;34;ENTROU
62;29;35;ENTROU
62;29;36;ENTROU
62;30;37;ENTROU
62;30;38;ENTROU
62;30;39;ENTROU
62;30;40;ENTROU
62;30;41;ENTROU
62;30;42;ENTROU
62;30;43;ENTROU
62;30;44;ENTROU
62;30;45;ENTROU
62;30;46;ENTROU
62;30;47;ENTROU
62;30;48;ENTROU
62;30;49;ENTROU
62;30;50;ENTROU
62;30;51;ENTROU
62;30;52;ENTROU
62;30;53;ENTROU
62;30;54;ENTROU
62;30;55;ENTROU
62;30;56;ENTROU
62;30;57;ENTROU
62;30;58;ENTROU
62;30;59;ENTROU
62;30;60;ENTROU
63;23;0;SAIU
63;23;1;SAIU
63;23;2;SAIU
63;23;3;SAIU
63;23;4;SAIU
63;23;5;SAIU
63;23;6;SAIU
63;23;7;SAIU
63;23;8;SAIU
63;23;9;SAIU
63;23;10;SAIU
63;23;11;SAIU
63;23;12;SAIU
63;31;0;ENTROU
63;31;1;ENTROU
63;31;2;ENTROU
63;31;3;ENTROU
63;31;4;ENTROU
63;32;5;ENTROU
63;32;6;ENTROU
65;29;13;SAIU
65;29;14;SAIU
65;29;15;SAIU
65;29;16;SAIU
65;29;17;SAIU
65;29;18;SAIU
65;29;19;SAIU
65;29;20;SAIU
65;29;21;SAIU
65;29;22;SAIU
65;29;23;SAIU
65;29;24;SAIU
65;29;25;SAIU
65;29;26;SAIU
65;29;27;SAIU
65;29;28;SAIU
65;29;29;SAIU
65;29;30;SAIU
65;29;31;SAIU
65;29;32;SAIU
65;29;33;SAIU
65;29;34;SAIU
65;29;35;SAIU
65;29;36;SAIU
65;33;7;ENTROU
65;33;8;ENTROU
65;33;9;ENTROU
65;33;10;ENTROU
65;33;11;ENTROU
65;33;12;ENTROU
65;33;13;ENTROU
65;33;14;ENTROU
65;33;15;ENTROU
65;33;16;ENTROU
65;33;17;ENTROU
65;33;18;ENTROU
65;33;19;ENTROU
66;30;37;SAIU
66;30;38;SAIU
66;30;39;SAIU
66;30;40;SAIU
66;30;41;SAIU
66;30;42;SAIU
66;30;43;SAIU
66;30;44;SAIU
66;30;45;SAIU
66;30;46;SAIU
66;30;47;SAIU
66;30;48;SAIU
66;30;49;SAIU
66;30;50;SAIU
66;30;51;SAIU
66;30;52;SAIU
66;30;53;SAIU
66;30;54;SAIU
66;30;55;SAIU
66;30;56;SAIU
66;30;57;SAIU
66;30;58;SAIU
66;30;59;SAIU
66;30;60;SAIU
66;34;20;ENTROU
66;34;21;ENTROU
66;34;22;ENTROU
66;34;23;ENTROU
66;34;24;ENTROU
66;34;25;ENTROU
66;34;26;ENTROU
66;34;27;ENTROU
66;34;28;ENTROU
66;34;29;ENTROU
66;34;30;ENTROU
66;34;31;ENTROU
66;34;32;ENTROU
66;34;33;ENTROU
66;34;34;ENTROU
66;34;35;ENTROU
66;34;36;ENTROU
66;34;37;ENTROU
66;34;38;ENTROU
66;34;39;ENTROU
66;34;40;ENTROU
66;34;41;ENTROU
66;34;42;ENTROU
66;34;43;ENTROU
66;34;44;ENTROU
66;35;45;ENTROU
66;35;46;ENTROU
66;35;47;ENTROU
66;35;48;ENTROU
66;35;49;ENTROU
66;35;50;ENTROU
66;35;51;ENTROU
66;35;52;ENTROU
66;35;53;ENTROU
66;35;54;ENTROU
66;35;55;ENTROU
66;35;56;ENTROU
68;31;0;SAIU
68;31;1;SAIU
68;31;2;SAIU
68;31;3;SAIU
68;31;4;SAIU
69;32;5;SAIU
69;32;6;SAIU
71;33;7;SAIU
71;33;8;SAIU
71;33;9;SAIU
71;33;10;SAIU
71;33;11;SAIU
71;33;12;SAIU
71;33;13;SAIU
71;33;14;SAIU
71;33;15;SAIU
71;33;16;SAIU
71;33;17;SAIU
71;33;18;SAIU
71;33;19;SAIU
71;36;0;ENTROU
71;36;1;ENTROU
71;36;2;ENTROU
71;36;3;ENTROU
71;36;4;ENTROU
71;36;5;ENTROU
71;36;6;ENTROU
71;36;7;ENTROU
71;36;8;ENTROU
71;36;9;ENTROU
71;36;10;ENTROU
71;36;11;ENTROU
71;36;12;ENTROU
71;36;13;ENTROU
71;36;14;ENTROU
71;36;15;ENTROU
71;36;16;ENTROU
71;36;17;ENTROU
71;36;18;ENTROU
71;36;19;ENTROU
71;36;57;ENTROU
71;36;58;ENTROU
71;36;59;ENTROU
71;36;60;ENTROU
71;36;61;ENTROU
72;34;20;SAIU
72;34;21;SAIU
72;34;22;SAIU
72;34;23;SAIU
72;34;24;SAIU
72;34;25;SAIU
72;34;26;SAIU
72;34;27;SAIU
72;34;28;SAIU
72;34;29;SAIU
72;34;30;SAIU
72;34;31;SAIU
72;34;32;SAIU
72;34;33;SAIU
72;34;34;SAIU
72;34;35;SAIU
72;34;36;SAIU
72;34;37;SAIU
72;34;38;SAIU
72;34;39;SAIU
72;34;40;SAIU
72;34;41;SAIU
72;34;42;SAIU
72;34;43;SAIU
72;34;44;SAIU
72;35;45;SAIU
72;35;46;SAIU
72;35;47;SAIU
72;35;48;SAIU
72;35;49;SAIU
72;35;50;SAIU
72;35;51;SAIU
72;35;52;SAIU
72;35;53;SAIU
72;35;54;SAIU
72;35;55;SAIU
72;35;56;SAIU
72;37;20;ENTROU
72;37;21;ENTROU
72;37;22;ENTROU
72;37;23;ENTROU
72;37;24;ENTROU
72;37;25;ENTROU
72;37;26;ENTROU
72;37;27;ENTROU
72;37;28;ENTROU
72;37;29;ENTROU
72;37;30;ENTROU
72;37;31;ENTROU
72;37;32;ENTROU
72;37;33;ENTROU
72;37;34;ENTROU
72;37;35;ENTROU
72;37;36;ENTROU
72;37;37;ENTROU
72;37;38;ENTROU
72;37;39;ENTROU
77;36;0;SAIU
77;36;1;SAIU
77;36;2;SAIU
77;36;3;SAIU
77;36;4;SAIU
77;36;5;SAIU
77;36;6;SAIU
77;36;7;SAIU
77;36;8;SAIU
77;36;9;SAIU
77;36;10;SAIU
77;36;11;SAIU
77;36;12;SAIU
77;36;13;SAIU
77;36;14;SAIU
77;36;15;SAIU
77;36;16;SAIU
77;36;17;SAIU
77;36;18;SAIU
77;36;19;SAIU
77;36;57;SAIU
77;36;58;SAIU
77;36;59;SAIU
77;36;60;SAIU
77;36;61;SAIU
77;38;0;ENTROU
77;38;1;ENTROU
77;38;2;ENTROU
77;38;3;ENTROU
77;38;4;ENTROU
77;38;5;ENTROU
77;38;6;ENTROU
77;38;7;ENTROU
77;38;8;ENTROU
77;38;9;ENTROU
77;38;10;ENTROU
77;38;11;ENTROU
77;38;12;ENTROU
77;38;13;ENTROU
77;38;14;ENTROU
